,,2016,2017,2018,2019,2020,2021,2022
합계,계,159447,169535,176915,185728,199128,210880,223825
합계,0 - 9세,4019,3994,4339,4716,5701,6246,6292
합계,10 - 19세,4004,4354,4976,5724,6582,7642,8873
합계,20 - 29세,24355,22622,19020,18783,17221,15967,15016
합계,30 - 39세,48485,53424,56365,60160,64234,66544,67034
합계,40 - 49세,39381,41791,43986,45416,47800,50077,54054
합계,50 - 59세,25851,27603,29909,31380,34057,38011,41774
합계,60 - 69세,9853,11868,13893,15228,17791,19321,21961
합계,70세 이상,3499,3879,4427,4321,5742,7072,8821
서울특별시,계,40775,41692,42040,42208,43769,44768,45792
서울특별시,0 - 9세,1092,1063,1088,1088,1216,1219,1104
서울특별시,10 - 19세,1201,1321,1467,1626,1787,1982,2210
서울특별시,20 - 29세,4363,3864,3248,2936,2720,2557,2381
서울특별시,30 - 39세,8535,8718,8639,8611,8655,8539,8087
서울특별시,40 - 49세,10539,10661,10524,10372,10152,9846,9900
서울특별시,50 - 59세,9588,9684,9900,10005,10301,10876,11153
서울특별시,60 - 69세,4258,4999,5613,5939,6707,7033,7578
서울특별시,70세 이상,1199,1382,1561,1631,2231,2716,3379
부산광역시,계,5181,5496,5671,5998,6422,6700,7061
부산광역시,0 - 9세,117,127,133,144,148,166,159
부산광역시,10 - 19세,141,142,157,169,186,211,233
부산광역시,20 - 29세,1051,1005,866,940,886,811,726
부산광역시,30 - 39세,1770,1950,2085,2248,2486,2576,2606
부산광역시,40 - 49세,1207,1283,1349,1359,1437,1528,1669
부산광역시,50 - 59세,652,699,745,765,813,909,1074
부산광역시,60 - 69세,199,233,268,302,369,378,441
부산광역시,70세 이상,44,57,68,71,97,121,153
대구광역시,계,3610,3872,4022,4330,4669,4902,5249
대구광역시,0 - 9세,103,108,113,125,131,134,131
대구광역시,10 - 19세,68,73,93,118,146,152,189
대구광역시,20 - 29세,800,748,603,612,562,522,522
대구광역시,30 - 39세,1432,1630,1762,1956,2120,2204,2206
대구광역시,40 - 49세,793,850,944,990,1070,1168,1314
대구광역시,50 - 59세,292,329,361,363,437,501,606
대구광역시,60 - 69세,93,103,114,129,155,172,209
대구광역시,70세 이상,29,31,32,37,48,49,72
인천광역시,계,11115,12483,13560,14666,16100,17363,18888
인천광역시,0 - 9세,317,352,422,478,636,752,786
인천광역시,10 - 19세,324,360,421,491,570,693,813
인천광역시,20 - 29세,1506,1537,1388,1351,1238,1077,1038
인천광역시,30 - 39세,3272,3692,3922,4261,4676,4975,5117
인천광역시,40 - 49세,3037,3329,3603,3819,4040,4189,4599
인천광역시,50 - 59세,1831,2125,2448,2695,2968,3358,3734
인천광역시,60 - 69세,630,861,1079,1279,1553,1778,2104
인천광역시,70세 이상,198,227,277,292,419,541,697
광주광역시,계,2703,2912,3042,3297,3483,3675,3950
광주광역시,0 - 9세,51,53,60,63,66,68,67
광주광역시,10 - 19세,49,53,57,67,81,88,104
광주광역시,20 - 29세,646,592,492,546,476,438,414
광주광역시,30 - 39세,1092,1249,1346,1451,1568,1647,1707
광주광역시,40 - 49세,579,640,718,790,858,938,1045
광주광역시,50 - 59세,210,239,272,271,304,357,446
광주광역시,60 - 69세,64,72,82,93,110,118,132
광주광역시,70세 이상,12,14,15,16,20,21,35
대전광역시,계,2538,2760,2877,3059,3228,3420,3591
대전광역시,0 - 9세,48,51,59,72,83,78,84
대전광역시,10 - 19세,84,81,80,84,83,110,110
대전광역시,20 - 29세,521,526,458,450,413,375,350
대전광역시,30 - 39세,981,1075,1142,1258,1359,1390,1404
대전광역시,40 - 49세,529,587,626,665,725,826,887
대전광역시,50 - 59세,278,315,362,357,367,408,482
대전광역시,60 - 69세,76,102,122,145,164,188,216
대전광역시,70세 이상,21,23,28,28,34,45,58
울산광역시,계,2885,2950,3038,3145,3382,3494,3669
울산광역시,0 - 9세,65,53,57,54,68,72,79
울산광역시,10 - 19세,48,50,54,65,79,93,125
울산광역시,20 - 29세,534,437,333,308,305,298,257
울산광역시,30 - 39세,1097,1213,1301,1368,1454,1391,1353
울산광역시,40 - 49세,648,671,720,776,824,918,998
울산광역시,50 - 59세,362,378,405,390,443,487,567
울산광역시,60 - 69세,106,121,142,150,163,173,210
울산광역시,70세 이상,25,27,26,34,46,62,80
세종특별자치시,계,455,534,593,666,729,803,882
세종특별자치시,0 - 9세,15,13,12,20,22,23,26
세종특별자치시,10 - 19세,15,16,21,20,32,35,39
세종특별자치시,20 - 29세,77,84,76,73,63,77,83
세종특별자치시,30 - 39세,172,226,249,284,310,328,330
세종특별자치시,40 - 49세,97,109,131,154,169,179,222
세종특별자치시,50 - 59세,60,63,75,82,98,118,126
세종특별자치시,60 - 69세,16,19,25,27,27,32,44
세종특별자치시,70세 이상,*,*,*,6,8,11,12
경기도,계,49551,53368,57082,60403,65976,70768,75288
경기도,0 - 9세,1377,1385,1581,1799,2314,2660,2731
경기도,10 - 19세,1311,1436,1701,2009,2404,2826,3335
경기도,20 - 29세,6468,6179,5477,5247,4852,4484,4205
경기도,30 - 39세,14047,15366,16185,17148,18544,19290,19463
경기도,40 - 49세,13280,14237,15203,15802,16722,17524,18694
경기도,50 - 59세,8633,9441,10503,11386,12580,14304,15566
경기도,60 - 69세,3195,3951,4828,5400,6434,7050,8043
경기도,70세 이상,1240,1373,1604,1612,2126,2630,3251
강원특별자치도,계,3221,3451,3567,3786,4064,4367,4777
강원특별자치도,0 - 9세,76,55,54,58,67,78,83
강원특별자치도,10 - 19세,54,58,64,66,72,87,110
강원특별자치도,20 - 29세,609,594,495,539,502,459,437
강원특별자치도,30 - 39세,1195,1331,1423,1545,1660,1736,1801
강원특별자치도,40 - 49세,795,867,912,935,1018,1109,1216
강원특별자치도,50 - 59세,342,370,422,438,502,614,752
강원특별자치도,60 - 69세,104,120,139,150,175,210,279
강원특별자치도,70세 이상,46,56,58,55,68,74,99
충청북도,계,4592,4877,5112,5382,5816,6212,6820
충청북도,0 - 9세,91,87,93,104,129,129,126
충청북도,10 - 19세,107,111,119,140,153,179,220
충청북도,20 - 29세,833,746,616,661,628,583,606
충청북도,30 - 39세,1656,1879,2004,2135,2307,2423,2524
충청북도,40 - 49세,1001,1082,1186,1257,1347,1476,1658
충청북도,50 - 59세,548,596,674,712,806,921,1069
충청북도,60 - 69세,201,221,254,268,317,345,427
충청북도,70세 이상,155,155,166,105,129,156,190
충청남도,계,6843,7474,7832,8234,8946,9801,10718
충청남도,0 - 9세,138,142,151,170,233,266,279
충청남도,10 - 19세,176,182,203,226,256,309,368
충청남도,20 - 29세,1114,1123,905,929,847,829,838
충청남도,30 - 39세,2453,2787,3010,3291,3568,3775,3847
충청남도,40 - 49세,1558,1718,1836,1925,2106,2359,2698
충청남도,50 - 59세,868,955,1088,1141,1271,1471,1706
충청남도,60 - 69세,263,320,373,409,498,573,726
충청남도,70세 이상,273,247,266,143,167,219,256
전라북도,계,4800,5083,5227,5595,5945,6272,6777
전라북도,0 - 9세,96,88,97,92,103,97,92
전라북도,10 - 19세,93,105,109,131,150,172,195
전라북도,20 - 29세,975,896,705,764,699,619,578
전라북도,30 - 39세,1955,2170,2311,2520,2644,2746,2807
전라북도,40 - 49세,1066,1142,1209,1272,1418,1549,1762
전라북도,50 - 59세,455,496,580,581,640,729,900
전라북도,60 - 69세,124,150,167,183,222,279,340
전라북도,70세 이상,36,36,49,52,69,81,103
전라남도,계,5104,5392,5551,6038,6393,6769,7302
전라남도,0 - 9세,99,93,86,82,92,92,109
전라남도,10 - 19세,88,91,114,132,142,169,191
전라남도,20 - 29세,1109,976,775,851,738,685,661
전라남도,30 - 39세,2072,2347,2524,2828,3000,3116,3136
전라남도,40 - 49세,1160,1229,1312,1370,1515,1655,1888
전라남도,50 - 59세,428,483,537,565,660,771,943
전라남도,60 - 69세,107,125,153,162,187,208,281
전라남도,70세 이상,41,48,50,48,59,73,93
경상북도,계,6167,6483,6634,7118,7769,8377,8996
경상북도,0 - 9세,122,110,112,117,131,145,162
경상북도,10 - 19세,101,104,119,140,155,188,222
경상북도,20 - 29세,1429,1236,933,936,926,887,810
경상북도,30 - 39세,2715,3057,3315,3624,3892,4094,4206
경상북도,40 - 49세,1159,1273,1384,1477,1681,1893,2149
경상북도,50 - 59세,450,484,525,567,679,806,1004
경상북도,60 - 69세,137,161,185,201,236,278,332
경상북도,70세 이상,54,58,61,56,69,86,111
경상남도,계,8375,8987,9179,9691,10117,10721,11454
경상남도,0 - 9세,160,161,160,178,181,186,190
경상남도,10 - 19세,95,121,141,176,217,254,307
경상남도,20 - 29세,2015,1777,1338,1313,1056,983,882
경상남도,30 - 39세,3489,4081,4423,4802,5076,5341,5435
경상남도,40 - 49세,1608,1732,1900,1993,2192,2364,2716
경상남도,50 - 59세,693,765,820,839,933,1081,1303
경상남도,60 - 69세,207,227,258,280,345,371,454
경상남도,70세 이상,108,123,139,110,117,141,167
제주특별자치도,계,1532,1721,1888,2112,2320,2468,2611
제주특별자치도,0 - 9세,52,53,61,72,81,81,84
제주특별자치도,10 - 19세,49,50,56,64,69,94,102
제주특별자치도,20 - 29세,305,302,312,327,310,283,228
제주특별자치도,30 - 39세,552,653,724,830,915,973,1005
제주특별자치도,40 - 49세,325,381,429,460,526,556,639
제주특별자치도,50 - 59세,161,181,192,223,255,300,343
제주특별자치도,60 - 69세,73,83,91,111,129,135,145
제주특별자치도,70세 이상,15,18,23,25,35,46,65
